nom;lat;lon
34108;43.44813198;3.749580097
34109;43.518304172;3.264444507
34110;43.78222769;4.008410737
34112;43.798514579;4.010515721
34113;43.494207907;3.723271944
34114;43.639492103;3.57397751
34116;43.650511569;3.793954261
34118;43.728552884;3.924475315
34119;43.591715211;3.118012427
34120;43.663169698;3.911878436
34122;43.673995909;3.478702552
34123;43.624109751;3.795734259
34125;43.674670641;3.53273858
34127;43.636956425;4.08287962
34128;43.925751886;3.733792833
34129;43.563533608;3.902143886
34130;43.522315551;3.199781498
34131;43.831151987;3.881420005
34134;43.584948574;3.802111823
34135;43.273320675;3.169990553
34136;43.492281954;3.438155894
34137;43.64008152;3.36060211
34139;43.41211123;3.231379
34141;43.337696165;2.633094762
34145;43.682149094;4.135918439
34146;43.682683118;4.08415587
34147;43.48116613;3.217232819
34148;43.370418528;3.15386867
34149;43.486459423;3.304057466
34150;43.360468419;3.547235186
34154;43.593159424;4.004657532
34155;43.351311868;3.102321113
34156;43.6354006;3.280209649
34157;43.429168764;3.578401617
34158;43.363313924;2.721319851
34159;43.516956532;3.802979581
34161;43.328259414;3.113994021
34162;43.474649421;3.510060528
34163;43.64698159;3.699675339
34164;43.747691789;3.959411621
34166;43.372928934;3.343122333
34167;43.289861947;3.025382144
34168;43.562331313;3.271326995
34169;43.669286067;3.863198375
34170;43.335192715;2.906493186
34171;43.918713388;3.802090236
34172;43.61335437;3.869264054
34173;43.711387769;3.502633707
34174;43.949461096;3.755676464
34176;43.640292412;4.035800278
34177;43.702190958;3.757521861
34178;43.457899324;3.135240891
34179;43.60911854;3.739490257
34180;43.599472127;3.437541643
34181;43.539913581;3.333113555
34182;43.42153867;3.403978486
