;Year;Municipality;Yield;Huglin_Index;Hot_D;Very_Hot_D;Sever_Heat;Frost_D;Late_Frost;Sever_Frost;Climatic_Dryness_Index;Soil_Water_Stock;Soil_pH;cluster
2919;2015;11190;89,91683559;2327,6455;27;1;3,8;7;0;0;-334,2495342;119,4346362;8,205537776;6
2920;2015;11022;86,26434166;2327,6455;27;1;3,8;7;0;0;-334,2495342;97,33978418;8,213426476;6
2921;2015;11393;83,69420417;2327,6455;27;1;3,8;7;0;0;-334,2495342;114,877646;8,179249628;6
2922;2015;11280;88,5472199;2327,6455;27;1;3,8;7;0;0;-334,2495342;88,80498011;8,180510001;6
2923;2016;11393;89,06166203;2281,347;33;0;0,3;4;0;0;-331,2225785;114,877646;8,179249628;6
2924;2016;11022;82,74435615;2281,347;33;0;0,3;4;0;0;-331,2225785;97,33978418;8,213426476;6
2925;2016;11172;89,89451169;2281,347;33;0;0,3;4;0;0;-331,2225785;117,2775026;8,229373212;6
2926;2016;11190;90;2281,347;33;0;0,3;4;0;0;-331,2225785;119,4346362;8,205537776;6
2927;2016;11280;90,03458678;2281,347;33;0;0,3;4;0;0;-331,2225785;88,80498011;8,180510001;6
2928;2017;11172;90,51054006;2302,6165;30;0;1,7;9;0;0;-337,4961763;117,2775026;8,229373212;6
2929;2017;11022;81,2885309;2302,6165;30;0;1,7;9;0;0;-337,4961763;97,33978418;8,213426476;6
2930;2017;11393;88,26750486;2302,6165;30;0;1,7;9;0;0;-337,4961763;114,877646;8,179249628;6
2931;2017;11190;90;2302,6165;30;0;1,7;9;0;0;-337,4961763;119,4346362;8,205537776;6
2932;2017;11280;89,93175981;2302,6165;30;0;1,7;9;0;0;-337,4961763;88,80498011;8,180510001;6
2933;2018;11280;91,09641382;2441,5635;42;3;15,5;6;0;0;-217,1947329;88,80498011;8,180510001;6
2934;2018;11172;90,94474982;2441,5635;42;3;15,5;6;0;0;-217,1947329;117,2775026;8,229373212;6
2935;2018;11393;90,01976571;2441,5635;42;3;15,5;6;0;0;-217,1947329;114,877646;8,179249628;6
2936;2018;11190;92,29848665;2441,5635;42;3;15,5;6;0;0;-217,1947329;119,4346362;8,205537776;6
2937;2018;11022;86,12120518;2441,5635;42;3;15,5;6;0;0;-217,1947329;97,33978418;8,213426476;6
2938;2010;34190;65,5;2456,653;49;6;2,5;30;0;0;-299,5082955;77,7055029;8,218216414;5
2939;2010;11296;76,43880777;2456,653;49;6;2,5;30;0;0;-299,5082955;93,94821039;8,31386615;5
2940;2010;11324;75,02018229;2456,653;49;6;2,5;30;0;0;-299,5082955;114,0645013;8,219532741;5
2941;2010;34026;55,8;2456,653;49;6;2,5;30;0;0;-299,5082955;82,15694811;8,336290137;5
2942;2010;34189;89,94279641;2456,653;49;6;2,5;30;0;0;-299,5082955;106,6915737;8,193247302;5
2943;2010;11273;59,83130808;2456,653;49;6;2,5;30;0;0;-299,5082955;103,2693569;8,170999476;5
2944;2011;11273;87,45493694;2500,0675;46;0;0;6;0;0;-234,8062735;103,2693569;8,170999476;5
2945;2011;34189;89,91625136;2500,0675;46;0;0;6;0;0;-234,8062735;106,6915737;8,193247302;5
2946;2011;34026;78,68525896;2500,0675;46;0;0;6;0;0;-234,8062735;82,15694811;8,336290137;5
2947;2011;11296;85,59365047;2500,0675;46;0;0;6;0;0;-234,8062735;93,94821039;8,31386615;5
2948;2011;34190;79,7;2500,0675;46;0;0;6;0;0;-234,8062735;77,7055029;8,218216414;5
2949;2011;11324;84,6920406;2500,0675;46;0;0;6;0;0;-234,8062735;114,0645013;8,219532741;5
2950;2012;11273;78,31275983;2400,0545;50;6;1,3;17;0;0;-258,7701454;103,2693569;8,170999476;5
2951;2012;34189;89,58745117;2400,0545;50;6;1,3;17;0;0;-258,7701454;106,6915737;8,193247302;5
2952;2012;11324;76,98316016;2400,0545;50;6;1,3;17;0;0;-258,7701454;114,0645013;8,219532741;5
2953;2012;11296;81,61171768;2400,0545;50;6;1,3;17;0;0;-258,7701454;93,94821039;8,31386615;5
2954;2012;34026;61,48066298;2400,0545;50;6;1,3;17;0;0;-258,7701454;82,15694811;8,336290137;5
