Unnamed: 0;Municipality;nom_commune;code_departement;cluster;nom_region;latitude;longitude;EC_Earth_precipitation_total;HadGEM3_precipitation_total;MPI-ESM1_precipitation_total;UKESM1_precipitation_total;IPSL_precipitation_total;precipitation_total_avril_septembre;EC_Earth_tmax;HadGEM3_tmax;MPI-ESM1_tmax;UKESM1_tmax_mean;IPSL_tmax_mean;tmax_mean;EC_Earth_tmoy;HadGEM3_tmoy;MPI-ESM1_tmoy;UKESM1_tmoy;IPSL_tmoy;temp_moyenne;EC_Earth_tmin;HadGEM3_tmin;MPI-ESM1_tmin;UKESM1_tmin;IPSL_tmin;tmin_mean;amplitude_thermique
#;;a;;;;;;mm;mm;mm;mm;mm;mm;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C
;30309;sardan;30;7;occitanie;43,8668633;4,0348616;299;258;262;255;272;262;26,949999;27,766668;26,249998;28,550001;26,933332;26,949999;21,6749995;21,9416675;20,874999;22,708334;21,508333;21,6749995;16,4;16,116667;15,5;16,866667;16,083334;16,116667;10,833332
;34294;saturargues;34;7;occitanie;43,7144165;4,1174417;287;247;256;245;262;256;27,699999;28,5;27;29,25;27,700003;27,700003;22,3166655;22,5999995;21,5166665;23,3583335;22,1500015;22,3166655;16,933332;16,699999;16,033333;17,466667;16,6;16,699999;11,000004
;34296;saussines;34;7;occitanie;43,7593613;4,0508018;290;250;257;248;264;257;27,466665;28,266665;26,733332;29,033333;27,433334;27,466665;22,091666;22,358332;21,266666;23,116666;21,916667;22,091666;16,716667;16,449999;15,8;17,199999;16,4;16,449999;11,016666
;34297;sauteyrargues;34;4;occitanie;43,8303032;3,9184868;293;252;257;249;266;257;26,633333;27,466667;25,949999;28,25;26,633333;26,633333;21,4750005;21,758334;20,6999995;22,533333;21,333334;21,4750005;16,316668;16,050001;15,45;16,816666;16,033335;16,050001;10,583332
;34298;sauvian;34;6;occitanie;43,291256;3,25406;236;200;211;201;215;211;27,15;28,133333;26,566666;28,866667;27,300003;27,300003;22,316666;22,7416665;21,658333;23,575;22,3583355;22,3583355;17,483332;17,35;16,75;18,283333;17,416668;17,416668;9,883335
;30314;savignargues;30;7;occitanie;43,9663086;4,0803246;316;271;275;271;286;275;27,133333;28,049997;26,433334;28,85;27,183332;27,183332;21,6083335;21,933332;20,816667;22,7000005;21,4999995;21,6083335;16,083334;15,816667;15,2;16,550001;15,816667;15,816667;11,366665
;34299;serignan;34;6;occitanie;43,2729874;3,2971349;234;199;209;199;213;209;27,066666;28,083336;26,5;28,799997;27,216667;27,216667;22,274999;22,7250015;21,633333;23,5249985;22,3083335;22,3083335;17,483332;17,366667;16,766666;18,25;17,4;17,4;9,816667
;30317;sernhac;30;5;occitanie;43,9116135;4,5608449;333;291;297;288;304;297;28,366669;29,083334;27,550001;29,816668;28,266668;28,366669;22,6500015;22,875;21,758334;23,608334;22,4083345;22,6500015;16,933334;16,666666;15,966667;17,4;16,550001;16,666666;11,700003
;34300;servian;34;5;occitanie;43,414196;3,3069255;248;212;221;210;227;221;27,300001;28,316668;26,76667;29,066668;27,449999;27,449999;22,2416675;22,658334;21,600001;23,491667;22,241667;22,2416675;17,183334;17;16,433332;17,916666;17,033335;17,033335;10,416664
;34301;sete;34;6;occitanie;43,3917542;3,6453032;235;199;206;198;211;206;25,366667;26,25;24,816666;27,000002;25,466667;25,466667;22,0250005;22,416667;21,3916665;23,200001;22;22,0250005;18,683334;18,583334;17,966667;19,4;18,533333;18,583334;6,883333
