Unnamed: 0;Municipality;nom_commune;code_departement;cluster;nom_region;latitude;longitude;EC_Earth_precipitation_total;HadGEM3_precipitation_total;MPI-ESM1_precipitation_total;UKESM1_precipitation_total;IPSL_precipitation_total;precipitation_total_avril_septembre;EC_Earth_tmax;HadGEM3_tmax;MPI-ESM1_tmax;UKESM1_tmax_mean;IPSL_tmax_mean;tmax_mean;EC_Earth_tmoy;HadGEM3_tmoy;MPI-ESM1_tmoy;UKESM1_tmoy;IPSL_tmoy;temp_moyenne;EC_Earth_tmin;HadGEM3_tmin;MPI-ESM1_tmin;UKESM1_tmin;IPSL_tmin;tmin_mean;amplitude_thermique
#;;a;;;;;;mm;mm;mm;mm;mm;mm;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C
;34267;st jean de fos;34;3;occitanie;43,6940842;3,5464272;272;243;242;229;239;242;26,516668;27,433334;25,9;28,050001;26,699999;26,699999;21,508334;22,016667;20,8750005;22,591667;21,5666655;21,5666655;16,5;16,6;15,850001;17,133333;16,433332;16,5;10,199999
;34268;st jean de la blaquiere;34;2;occitanie;43,7099075;3,430383;303;273;268;256;267;268;24,583334;25,533333;23,966667;26,15;24,799997;24,799997;19,85;20,375;19,208334;20,9416665;19,9249985;19,9249985;15,116666;15,216667;14,450001;15,733333;15,05;15,116666;9,683331
;30266;st jean de maruejols et avejan;30;7;occitanie;44,2673225;4,2998233;391;360;341;329;341;341;26,316666;27,4;25,800001;28,133337;26,616667;26,616667;20,55;21,133333;19,9916675;21,7583345;20,7;20,7;14,783334;14,866666;14,183334;15,383332;14,783333;14,783334;11,833333
;34269;st jean de minervois;34;2;occitanie;43,4001579;2,8176711;296;272;268;260;269;269;24,5;25,65;23,85;26,183334;24,799997;24,799997;19,725;20,325;19,0583335;20,9166675;19,8833315;19,8833315;14,95;15;14,266667;15,650001;14,966666;14,966666;9,833331
;30267;st jean de serres;30;7;occitanie;43,9894142;4,0763774;327;297;291;275;288;291;26,66667;27,583334;26,050001;28,233332;26,833334;26,833334;21,133334;21,608334;20,483334;22,199999;21,158334;21,158334;15,599998;15,633334;14,916667;16,166666;15,483334;15,599998;11,233336
;34270;st jean de vedas;34;5;occitanie;43,5720215;3,8323562;264;238;238;222;235;238;26,883333;27,733335;26,28333;28,299997;27,050001;27,050001;21,924999;22,391668;21,274999;22,9416655;21,9416675;21,9416675;16,966665;17,050001;16,266668;17,583334;16,833334;16,966665;10,083336
;66177;st jean lasseille;66;6;occitanie;42,5858498;2,8646495;252;218;229;216;221;221;26,533333;27,583334;25,816666;28,083334;26,883333;26,883333;21,6083325;22,141667;20,8583335;22,716666;21,758333;21,758333;16,683332;16,7;15,900001;17,349998;16,633333;16,683332;10,200001
;66178;st jean pla de corts;66;2;occitanie;42,5154686;2,7946546;277;235;250;236;241;241;25,966667;26,983332;25,266665;27,483332;26,333336;26,333336;21,2000005;21,7249995;20,458332;22,291666;21,3583345;21,3583345;16,433334;16,466667;15,649999;17,1;16,383333;16,433334;9,900002
;30273;st julien de peyrolas;30;7;occitanie;44,2831573;4,5679703;415;387;362;353;365;365;26,466667;27,533333;25,983335;28,25;26,766668;26,766668;20,7666665;21,3333335;20,2333345;21,966667;20,908334;20,908334;15,066666;15,133334;14,483334;15,683334;15,05;15,066666;11,700002
;30275;st just et vacquieres;30;5;occitanie;44,1004028;4,2358413;368;338;325;309;324;325;26,033333;27,033335;25,5;27,716667;26,283335;26,283335;20,483333;21,000001;19,8916665;21,6;20,5750015;20,5750015;14,933333;14,966667;14,283333;15,483333;14,866668;14,933333;11,350002
