Unnamed: 0;Municipality;nom_commune;code_departement;cluster;nom_region;latitude;longitude;EC_Earth_precipitation_total;HadGEM3_precipitation_total;MPI-ESM1_precipitation_total;UKESM1_precipitation_total;IPSL_precipitation_total;precipitation_total;EC_Earth_tmax;HadGEM3_tmax;MPI-ESM1_tmax;UKESM1_tmax_mean;IPSL_tmax_mean;tmax_mean;EC_Earth_tmoy;HadGEM3_tmoy;MPI-ESM1_tmoy;UKESM1_tmoy;IPSL_tmoy;temp_moyenne;EC_Earth_tmin;HadGEM3_tmin;MPI-ESM1_tmin;UKESM1_tmin;IPSL_tmin;tmin_mean;amplitude_thermique
#;;a;;;;;;mm;mm;mm;mm;mm;mm;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C
;30189;nimes;30;5;occitanie;43,8446579;4,3475909;805;780;732;753;740;753;21,758333;22,375;20,96667;23,183334;21,725;21,758333;16,962499;17,2958335;16,112502;18,075;16,8458335;16,962499;12,166665;12,216667;11,258334;12,966666;11,966667;12,166665;9,591668
;34183;nissan lez enserune;34;6;occitanie;43,2811279;3,1123834;584;563;534;555;546;555;21,624998;22,408335;20,966667;23,158333;21,725;21,725;17,1791655;17,600001;16,4625;18,4;17,2291675;17,2291675;12,733333;12,791667;11,958333;13,641667;12,733335;12,733335;8,991665
;34184;nizas;34;3;occitanie;43,5136986;3,4185786;619;595;565;582;571;582;21,816668;22,566666;21,225;23,366667;21,933334;21,933334;17,258334;17,683333;16,5833335;18,4791665;17,2999995;17,2999995;12,7;12,8;11,941667;13,591666;12,666665;12,7;9,233334
;34186;octon;34;2;occitanie;43,6574593;3,2957289;651;627;594;611;606;611;20,408333;21,175001;19,775;21,983332;20,525;20,525;16,095833;16,5125;15,383333;17,3041655;16,1249995;16,1249995;11,783333;11,849999;10,991666;12,624999;11,724999;11,783333;8,741667
;34189;olonzac;34;5;occitanie;43,2814598;2,7367647;621;602;571;594;586;594;21,266668;22,050001;20,558332;22,841665;21,375;21,375;16,7750005;17,158334;15,99583175;17,9791655;16,8333335;16,8333335;12,283333;12,266667;11,4333315;13,116666;12,291667;12,283333;9,091667
;66127;opoul perillos;66;3;occitanie;42,8801155;2,8579726;697;661;640;669;650;661;19,525;20,291666;18,791668;20,975;19,608334;19,608334;15,458333;15,8249995;14,6666675;16,6000005;15,4833335;15,4833335;11,391666;11,358333;10,541667;12,225001;11,358333;11,358333;8,250001
;11267;ornaisons;11;6;occitanie;43,1775398;2,8365405;604;587;552;577;567;577;21,308332;22,091667;20,608334;22,85;21,408335;21,408335;16,87500025;17,2625;16,108334;18,0791665;16,9250005;16,9250005;12,4416685;12,433333;11,608334;13,308333;12,441666;12,441666;8,966669
;30191;orsan;30;5;occitanie;44,134861;4,664403;854;830;769;794;785;794;21,441666;22,216667;20,691666;23,091665;21,516665;21,516665;16,425;16,8416665;15,5916665;17,6708325;16,3833325;16,425;11,408334;11,466666;10,491667;12,25;11,25;11,408334;10,108331
;34190;oupia;34;5;occitanie;43,28862;2,7755632;628;611;579;601;594;601;20,983334;21,791666;20,316666;22,566666;21,108335;21,108335;16,570833;16,9708325;15,8250005;17,787499;16,6416685;16,6416685;12,158332;12,149999;11,333335;13,008332;12,175002;12,158332;8,950003
;11269;ouveillan;11;6;occitanie;43,2928276;2,9697773;595;575;545;566;559;566;21,65;22,433334;20,991667;23,208334;21,758331;21,758331;17,0625005;17,466667;16,329167;18,2750005;17,1041655;17,1041655;12,475001;12,5;11,666667;13,341667;12,45;12,475001;9,28333
;11272;palaja;11;1;occitanie;43,167305;2,3873055;723;697;664;686;677;686;20,141666;20,975;19,466665;21,733332;20,316668;20,316668;15,7375005;16,1375;14,9833325;16,958333;15,850001;15,850001;11,333335;11,3;10,5;12,183334;11,383334;11,333335;8,983333
;11273;paraza;11;5;occitanie;43,2594757;2,8168547;614;598;565;587;580;587;21,158333;21,949999;20,458334;22,725;21,258333;21,258333;16,712499;17,1041655;15,9416665;17,925;16,7624995;16,7624995;12,266665;12,258332;11,424999;13,125;12,266666;12,266665;8,991668
;66134;passa;66;2;occitanie;42,565403;2,8049855;602;552;556;578;553;556;21,599998;22,316666;20,8;22,95833;21,666666;21,666666;16,9583325;17,2958335;16,095833;18,020831;16,9375005;16,9583325;12,316667;12,275001;11,391666;13,083332;12,208335;12,275001;9,391665
;34194;paulhan;34;5;occitanie;43,5379829;3,4584644;616;591;561;578;568;578;21,791666;22,54167;21,216665;23,324999;21,9;21,9;17,2624995;17,6833355;16,591666;18,466666;17,2874995;17,2874995;12,733333;12,825001;11,966667;13,608333;12,674999;12,733333;9,166667
;11274;pauligne;11;1;occitanie;43,0744171;2,1464558;765;732;700;720;713;720;20,191668;21,05;19,508333;21,766665;20,375002;20,375002;15,400001;15,8208335;14,645833;16,620832;15,512501;15,512501;10,608334;10,591667;9,783333;11,474999;10,65;10,608334;9,766668
;34196;pegairolles de l escalette;34;1;occitanie;43,8129692;3,3343773;898;864;816;840;832;840;17,183334;17,925001;16,5;18,800001;17,283333;17,283333;12,9375005;13,3375005;12,18333365;14,162501;12,9541665;12,9541665;8,691667;8,75;7,8666673;9,525001;8,625;8,691667;8,591666
;11279;pennautier;11;1;occitanie;43,2512321;2,3139091;728;705;669;691;684;691;20,441666;21,291666;19,791666;22,058332;20,625002;20,625002;15,8125;16,2208335;15,0624995;17,037499;15,9250005;15,9250005;11,183334;11,150001;10,333333;12,016666;11,224999;11,183334;9,441668
;11280;pepieux;11;6;occitanie;43,2973938;2,6869545;638;619;587;608;602;608;21,133333;21,925001;20,425;22,708334;21,233334;21,233334;16,5291665;16,916667;15,7583335;17,7375;16,5875005;16,5875005;11,925;11,908333;11,091667;12,766666;11,941667;11,925;9,308334
;66136;perpignan;66;6;occitanie;42,6964417;2,8989778;558;520;516;537;517;520;22,133333;22,849998;21,358332;23,516665;22,199999;22,199999;17,6541665;18,012499;16,8208325;18,749999;17,6458325;17,6541665;13,175;13,175;12,283333;13,983333;13,091666;13,175;9,024999
;11285;peyriac de mer;11;6;occitanie;43,0900726;2,9491436;588;571;540;564;552;564;20,933334;21,708334;20,241667;22,449999;21,058332;21,058332;16,8833345;17,270833;16,133333;18,0749985;16,9416665;16,9416665;12,833335;12,833332;12,024999;13,699998;12,825001;12,833332;8,225
;11286;peyriac minervois;11;3;occitanie;43,2936745;2,5662966;680;659;625;649;643;649;20,575;21,391668;19,891668;22,175001;20,708334;20,708334;16,029167;16,4208345;15,262501;17,241667;16,108333;16,108333;11,483334;11,450001;10,633334;12,308333;11,508332;11,483334;9,225
;34199;pezenas;34;5;occitanie;43,4632912;3,4159887;617;594;562;581;570;581;21,75;22,491669;21,158333;23,283333;21,858335;21,858335;17,2083335;17,6291675;16,5333335;18,416666;17,2458335;17,2458335;12,666667;12,766666;11,908334;13,549999;12,633332;12,666667;9,191668
;11288;pezens;11;1;occitanie;43,2548332;2,2482173;741;717;682;700;697;700;20,449999;21,291666;19,766668;22,033333;20,6;20,6;15,749999;16,1666665;14,9916665;16,9624995;15,8499995;15,8499995;11,049999;11,041667;10,216665;11,891666;11,099999;11,049999;9,550001
;66140;pezilla la riviere;66;6;occitanie;42,7053185;2,7645674;576;537;529;554;534;537;21,791666;22,499998;21,025;23,191668;21,866669;21,866669;17,2499995;17,583333;16,4208335;18,35;17,237501;17,2499995;12,708333;12,666668;11,816667;13,508332;12,608333;12,666668;9,200001
;66141;pia;66;6;occitanie;42,7491264;2,9148362;553;516;509;530;510;516;22,241667;22,966665;21,475;23,633333;22,308332;22,308332;17,7333325;18,095833;16,916667;18,833333;17,724999;17,7333325;13,224998;13,225001;12,358334;14,033333;13,141666;13,224998;9,083334
;34201;pierrerue;34;2;occitanie;43,4413986;2,9632032;629;609;578;596;592;596;20,75;21,533333;20,091665;22,35;20,85;20,85;16,3583335;16,7583335;15,620832;17,5875;16,412499;16,412499;11,966667;11,983334;11,149999;12,825;11,974998;11,974998;8,875002
;11289;pieusse;11;1;occitanie;43,0827942;2,2550347;770;739;705;727;717;727;19,725;20,566668;19,033335;21,283335;19,875;19,875;15,2083335;15,625001;14,4500015;16,408334;15,308334;15,308334;10,691667;10,683334;9,866668;11,533333;10,741668;10,691667;9,183333
;34202;pignan;34;3;occitanie;43,5855637;3,7496443;681;658;621;640;630;640;20,975;21,666666;20,341665;22,466667;21,033335;21,033335;16,5999995;16,9916665;15,8916655;17,7791665;16,5750005;16,5999995;12,224999;12,316667;11,441666;13,091666;12,116666;12,224999;8,808336
;34203;pinet;34;6;occitanie;43,4092331;3,5126724;608;586;555;576;562;576;21,949999;22,675001;21,366667;23,433334;22,050001;22,050001;17,5749995;18,0000005;16,916667;18,779167;17,604167;17,604167;13,2;13,325;12,466667;14,125;13,158333;13,2;8,850001
;34206;poilhes;34;6;occitanie;43,3044586;3,0893736;592;572;542;562;554;562;21,666666;22,416666;21,016668;23,199997;21,774996;21,774996;17,120833;17,516667;16,4041675;18,333332;17,174998;17,174998;12,575;12,616668;11,791667;13,466667;12,575;12,575;9,199996
;66144;pollestres;66;6;occitanie;42,6374855;2,8728693;565;525;520;542;521;525;22,050001;22,758331;21,266668;23,416664;22,116667;22,116667;17,425;17,770832;16,5833335;18,5083315;17,4125;17,425;12,799999;12,783333;11,899999;13,599999;12,708333;12,783333;9,333334
;11293;pomas;11;1;occitanie;43,1072121;2,2808106;750;725;688;710;701;710;19,924997;20,783335;19,258333;21,525;20,125;20,125;15,479165;15,8916675;14,7208325;16,704166;15,6;15,6;11,033333;11;10,183332;11,883332;11,075;11,033333;9,091667
